Chapter,Role,Name (Country)
Human Population Health,Coordinating Lead Author,Anthony J. McMichael (United Kingdom)
,,
Human Population Health,Lead Author,Mitsuru Ando (Japan)
Human Population Health,Lead Author,Rodolfo Carcavallo (Argentina)
Human Population Health,Lead Author,Paul R. Epstein (USA)
Human Population Health,Lead Author,Andrew Haines (United Kingdom)
Human Population Health,Lead Author,G. Jendritzky (Germany)
Human Population Health,Lead Author,L. Kalkstein (USA)
Human Population Health,Lead Author,Rispa Odongo (Kenya)
Human Population Health,Lead Author,Jonathan Patz (USA)
Human Population Health,Lead Author,Warren T. Piver (USA)
,,
Human Population Health,Contributing Author,T. Anderson (USA)
Human Population Health,Contributing Author,Susana I. Curto De Casas (Argentina)
Human Population Health,Contributing Author,L. Galindez Giron (Venezuela)
Human Population Health,Contributing Author,Sari Kovats (United Kingdom)
Human Population Health,Contributing Author,W.J.M. Martens (The Netherlands)
Human Population Health,Contributing Author,D. Mills (USA)
Human Population Health,Contributing Author,Ana Rosa Moreno (Mexico)
Human Population Health,Contributing Author,W. Reisen (USA)
Human Population Health,Contributing Author,R. Slooff (Switzerland)
Human Population Health,Contributing Author,D. Waltner-Toews (Canada)
Human Population Health,Contributing Author,Alistair Woodward (New Zealand)
,,
