Chapter,Role,Name (Country)
Summary For Policy Makers,Lead Author,T. Banuri (USA)
Summary For Policy Makers,Lead Author,Terry Barker (United Kingdom)
Summary For Policy Makers,Lead Author,Igor Alexeyevich Bashmakov (Russian Federation)
Summary For Policy Makers,Lead Author,Kornelis Blok (The Netherlands)
Summary For Policy Makers,Lead Author,Daniel H. Bouille (Argentina)
Summary For Policy Makers,Lead Author,R. Christ (Switzerland)
Summary For Policy Makers,Lead Author,Ogunlade R. Davidson (South Africa)
Summary For Policy Makers,Lead Author,James Edmonds (N/A)
Summary For Policy Makers,Lead Author,Jonathan M. Gregory (United Kingdom)
Summary For Policy Makers,Lead Author,Michael Grubb (United Kingdom)
Summary For Policy Makers,Lead Author,Kirsten Halsnaes (Denmark)
Summary For Policy Makers,Lead Author,Thomas C. Heller (USA)
Summary For Policy Makers,Lead Author,Jean-Charles Hourcade (France)
Summary For Policy Makers,Lead Author,Hisashi Ishitani (Japan)
Summary For Policy Makers,Lead Author,Catrinus J. Jepma (The Netherlands)
Summary For Policy Makers,Lead Author,P.E. Kauppi (Finland)
Summary For Policy Makers,Lead Author,Anil Markandya (United Kingdom)
Summary For Policy Makers,Lead Author,Bert Metz (The Netherlands)
Summary For Policy Makers,Lead Author,William Moomaw (USA)
Summary For Policy Makers,Lead Author,Jose Roberto (N/A)
Summary For Policy Makers,Lead Author,Moreira Tsuneyuki (N/A)
Summary For Policy Makers,Lead Author,Morita Nebojsa (N/A)
Summary For Policy Makers,Lead Author,Nebojsa Nakicenovic (Austria)
Summary For Policy Makers,Lead Author,Price Richard (N/A)
Summary For Policy Makers,Lead Author,Richels John (N/A)
Summary For Policy Makers,Lead Author,Robinson Hans (N/A)
Summary For Policy Makers,Lead Author,Hans-Holger Rogner (Austria)
Summary For Policy Makers,Lead Author,Jayant Sathaye (USA)
Summary For Policy Makers,Lead Author,Roger Sedjo (USA)
Summary For Policy Makers,Lead Author,Priyadarshi R. Shukla (India)
Summary For Policy Makers,Lead Author,L. Srivastava (India)
Summary For Policy Makers,Lead Author,Rob J. Swart (The Netherlands)
Summary For Policy Makers,Lead Author,Ferenc L. Toth (Germany)
