Chapter,Title,Role,Name,Institution,Country
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Coordinating Lead Author,Jens Hesselbjerg Christensen,Danish Meteorological Institute,Denmark
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Coordinating Lead Author,Krishna Kumar Kanikicharla,Indian Institute of Tropical Meteorology,India
,,,,,
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Edvin Aldrian,"Agency for Meteorology, Climatology and Geophysics",Indonesia
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Soon-Il An,Yonsei University,Republic of Korea
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Iracema Fonseca Albuquerque Cavalcanti,National Institute for Space Research,Brazil
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Manuel de Castro,University of Castilla-La Mancha,Spain
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Wenjie Dong,Beijing Normal University,China
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Prashant Goswami,CSIR Centre for Mathematical Modelling and Computer Simulation,India
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Alex Hall,University of California Los Angeles,USA
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Joseph Katongo Kanyanga,Zambia Meteorological Department,Zambia
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Akio Kitoh,University of Tsukuba,Japan
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,James Kossin,National Oceanic and Atmospheric Administration,USA
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Ngar-Cheung Lau,National Oceanic and Atmospheric Administration,USA
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,James Renwick,Victoria University of Wellington,New Zealand
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,David B. Stephenson,University of Exeter,UK
Chapter 14,Climate Phenomena and their Relevance for Future Regional Climate Change,Lead Author,Shang-Ping Xie,Scripps Institution of Oceanography,USA
