Country,"Name, Institution"
Argentina,"Vicente Barros, CIMA/Universidad de Buenos Aires"
Argentina,"Ines Camilloni, CIMA/Universidad de Buenos Aires"
Argentina,"Hernan Carlino, Universidad Torcuato Di Tella"
Argentina,"Mario Nunez, CIMA/Universidad de Buenos Aires"
Argentina,"Matilde Rusticucci, Universidad de Buenos Aires"
Argentina,"Haris Eduardo Sanahuja, Senior Consultant"
Argentina,"Pablo Suarez, Boston University, Red Cross/Red Crescent Climate Centre"
Argentina,"Carolina Vera, CIMA/Universidad de Buenos Aires"
,
Australia,"Jonathan Abrahams, World Health Organization"
Australia,"Lisa Alexander, The University of New South Wales"
Australia,"Julie Arblaster, National Center for Atmospheric Research, Australian Bureau of Meteorology"
Australia,"Jon Barnett, Melbourne University"
Australia,"Ian Carruthers, National Climate Change Adaptation Research Facility"
Australia,"Bob Cechet, Geoscience Australia"
Australia,"Lynda Chambers, Australian Bureau of Meteorology"
Australia,"John Church, Commonwealth Scientific and Industrial Research Organization"
Australia,"Paul Della-Marta, Partner Reinsurance Company"
Australia,"Amy Dumbrell, Australian Government Department of Climate Change and Energy Efficiency"
Australia,"Jill Edwards, Australasian Fire and Emergency Service Authorities Council"
Australia,"Ailie Gallant, University of Melbourne"
Australia,"John Handmer, Centre for Risk and Community Safety, RMIT University"
Australia,"Mark Hemer, Commonwealth Scientific and Industrial Research Organization"
Australia,"Adriana Keating, RMIT University"
Australia,"Monique Ladds, RMIT University"
Australia,"Padma Narsey Lal, International Union for Conservation of Nature-Oceania"
Australia,"Yun Li, Commonwealth Scientific and Industrial Research Organisation"
Australia,"Kathleen McInnes, Commonwealth Scientific and Industrial Research Organization, Marine and Atmospheric Research"
Australia,"Neville Nicholls, Monash University, School of Geography and Environmental Science"
Australia,"Lauren Amy Rickards, University of Melbourne"
Australia,"Anthony Swirepik, Australia Government Department of Climate Change and Energy Efficiency"
Australia,"Frank Thomalla, Macquarie University"
Australia,"Richard Thornton, Bushfire Cooperative Research Centre"
Australia,"Blair Trewin, Australian Bureau of Meteorology"
Australia,"Anya M. Waite, University of Western Australia"
Australia,"Xiaoming Wang, Commonwealth Scientifc and Industrial Research Organisation"
Australia,"Penny Whetton, Commonwealth Scientific and Industrial Research Organisation"
Australia,"Joshua Whittaker, RMIT University"
,
Austria,"Stefan Hochrainer, International Institute for Applied System Analysis "
Austria,"Helmut Hojesky, Bundesministerium fur Land-und Forstwirtschaft, Umwelt und Wasserwirtschaft"
Austria,"Klaus Radunsky, Umweltbundesamt GmbH"
Austria,"Petra Tschakert, Pennsylvania State University"
,
Bangladesh,"Md. Siarjul Islam, North South University"
Bangladesh,"Tarik ul Islam, United Nations Development Programme-Bangladesh"
Bangladesh,"Alimullah Miyan, South Asian Disaster Management Centre, International University of Business, Agriculture, Technology"
Bangladesh,"Ainun Nishat, BRAC University"
Bangladesh,"Ataur Rahman, Centre for Global Environmental Culture, International University of Business, Agriculture, Technology"
,
Belgium,"Johan Bogaert, Flemish Government"
,
Belgium,"Lieven Bydekerke, VITO – Flemish Institute for Technological Research"
