Chapter,Role,Name (Country)
"Policy, Financing and Implementation",Coordinating Lead Author,Catherine Mitchell (United Kingdom)
"Policy, Financing and Implementation",Coordinating Lead Author,Janet L. Sawin (USA)
"Policy, Financing and Implementation",Coordinating Lead Author,Govind R. Pokharel (Nepal)
"Policy, Financing and Implementation",Coordinating Lead Author,Daniel Kammen (USA)
"Policy, Financing and Implementation",Coordinating Lead Author,Zhongying Wang (China)
,,
"Policy, Financing and Implementation",Lead Author,Solomone Fifi ta (Fiji/Tonga)
"Policy, Financing and Implementation",Lead Author,Mark Jaccard (Canada)
"Policy, Financing and Implementation",Lead Author,Ole Langniss (Germany)
"Policy, Financing and Implementation",Lead Author,Hugo Lucas (United Arab Emirates/Spain)
"Policy, Financing and Implementation",Lead Author,Alain Nadai (France)
"Policy, Financing and Implementation",Lead Author,Ramiro Trujillo Blanco (Bolivia)
"Policy, Financing and Implementation",Lead Author,Eric Usher (Sweden/Canada)
"Policy, Financing and Implementation",Lead Author,Aviel Verbruggen (Belgium)
"Policy, Financing and Implementation",Lead Author,Rolf Wüstenhagen (Switzerland/Germany)
"Policy, Financing and Implementation",Lead Author,Kaoru Yamaguchi (Japan)
,,
"Policy, Financing and Implementation",Contributing Author,Douglas Arent (USA)
"Policy, Financing and Implementation",Contributing Author,Greg Arrowsmith (Belguim/United Kingdom)
"Policy, Financing and Implementation",Contributing Author,Morgan Bazilian (Austria/USA)
"Policy, Financing and Implementation",Contributing Author,Lori Bird (USA)
"Policy, Financing and Implementation",Contributing Author,Thomas Boermans (Germany)
"Policy, Financing and Implementation",Contributing Author,Alex Bowen (United Kingdom)
"Policy, Financing and Implementation",Contributing Author,Sylvia Breukers (The Netherlands)
"Policy, Financing and Implementation",Contributing Author,Thomas Bruckner (Germany)
"Policy, Financing and Implementation",Contributing Author,Sebastian Busch (Austria/Germany)
"Policy, Financing and Implementation",Contributing Author,Elisabeth Clemens (Norway)
"Policy, Financing and Implementation",Contributing Author,Peter Connor (United Kingdom)
"Policy, Financing and Implementation",Contributing Author,Felix Creutzig (Germany)
"Policy, Financing and Implementation",Contributing Author,Peter Droege (Liechtenstein/Germany)
"Policy, Financing and Implementation",Contributing Author,Karin Ericsson (Sweden)
"Policy, Financing and Implementation",Contributing Author,Chris Greacen (USA)
"Policy, Financing and Implementation",Contributing Author,Renata Grisoli (Brazil)
"Policy, Financing and Implementation",Contributing Author,Erik Haites (Canada)
"Policy, Financing and Implementation",Contributing Author,Kirsty Hamilton (United Kingdom)
"Policy, Financing and Implementation",Contributing Author,Jochen Harnisch (Germany)
"Policy, Financing and Implementation",Contributing Author,Cameron Hepburn (United Kingdom)
"Policy, Financing and Implementation",Contributing Author,Suzanne Hunt (USA)
"Policy, Financing and Implementation",Contributing Author,Matthias Kalkuhl (Germany)
"Policy, Financing and Implementation",Contributing Author,Heleen de Koninck (Netherlands)
"Policy, Financing and Implementation",Contributing Author,Patrick Lamers (Germany)
"Policy, Financing and Implementation",Contributing Author,Birger Madsen (Denmark)
"Policy, Financing and Implementation",Contributing Author,Gregory Nemet (USA)
"Policy, Financing and Implementation",Contributing Author,Lars J. Nilsson (Sweden)
"Policy, Financing and Implementation",Contributing Author,Supachai Panitchpakdi (Switzerland/Thailand)
"Policy, Financing and Implementation",Contributing Author,David Popp (USA)
"Policy, Financing and Implementation",Contributing Author,Anis Radzi (Liechtenstein/Australia)
"Policy, Financing and Implementation",Contributing Author,Gustav Resch (Austria)
"Policy, Financing and Implementation",Contributing Author,Sven Schimschar (Germany)
"Policy, Financing and Implementation",Contributing Author,Kristin Seyboth (Germany/USA)
"Policy, Financing and Implementation",Contributing Author,Sergio Trindade (USA/Brazil and USA)
"Policy, Financing and Implementation",Contributing Author,Bernhard Truffer (Switzerland)
"Policy, Financing and Implementation",Contributing Author,Sarah Truitt (USA)
"Policy, Financing and Implementation",Contributing Author,Dan van der Horst (United Kingdom/The Netherlands)
"Policy, Financing and Implementation",Contributing Author,Saskia Vermeylen (United Kingdom)
"Policy, Financing and Implementation",Contributing Author,Charles Wilson (United Kingdom)
"Policy, Financing and Implementation",Contributing Author,Ryan Wiser (USA)
,,
"Policy, Financing and Implementation",Review Editor,David de Jager (The Netherlands)
"Policy, Financing and Implementation",Review Editor,Antonina Ivanova Boncheva (Mexico/Bulgaria)
