#,Chapter,Role,Name (Country)
09,Rural areas,Coordinating Lead Author,Purnamita Dasgupta (India)
09,Rural areas,Coordinating Lead Author,John Morton (United Kingdom)
,,,
09,Rural areas,Lead Author,David Dodman (Jamaica)
09,Rural areas,Lead Author,Barış Karapınar (Turkey / Switzerland)
09,Rural areas,Lead Author,Francisco Meza (Chile)
09,Rural areas,Lead Author,Marta Rivera-Ferre (Spain)
09,Rural areas,Lead Author,Aissa Toure Sarr (Senegal)
09,Rural areas,Lead Author,Katharine Vincent (South Africa)
,,,
09,Rural areas,Review Editor,Edward R. Carr (United States)
09,Rural areas,Review Editor,Nirivololona Raholijao (Madagascar)
,,,
09,Rural areas,Volunteer Chapter Scientist,Hauke Broecker (Germany)
,,,
09,Rural areas,Contributing Author,Ashish Aggarwal (India)
09,Rural areas,Contributing Author,Netra Chhetri (United States / Nepal)
09,Rural areas,Contributing Author,Tracy Cull (South Africa)
09,Rural areas,Contributing Author,Jose Gustavo Feres (Brazil)
09,Rural areas,Contributing Author,Jeremy Haggar (United Kingdom)
09,Rural areas,Contributing Author,George Hutchinson (United Kingdom)
09,Rural areas,Contributing Author,Feliu López-i-Gelats (Spain)
09,Rural areas,Contributing Author,Megan Mills-Novoa (United States)
09,Rural areas,Contributing Author,Nandan Nawn (India)
09,Rural areas,Contributing Author,Catherine Norman (United States)
09,Rural areas,Contributing Author,Andreas Scheba (Austria)
09,Rural areas,Contributing Author,Tetsuji Tanaka (Japan)
