Chapter,Role,Name (Country)
Case Studies,Coordinating Lead Author,Virginia Murray (UK)
Case Studies,Coordinating Lead Author,Gordon McBean (Canada)
Case Studies,Coordinating Lead Author,Mihir Bhatt (India)
,,
Case Studies,Lead Author,Sergey Borsch (Russian Federation)
Case Studies,Lead Author,Tae Sung Cheong (Republic of Korea)
Case Studies,Lead Author,Wadid Fawzy Erian (Egypt)
Case Studies,Lead Author,Silvia Llosa (Peru)
Case Studies,Lead Author,Farrokh Nadim (Norway)
Case Studies,Lead Author,Mario Nunez (Argentina)
Case Studies,Lead Author,Ravsal Oyun (Mongolia)
Case Studies,Lead Author,Avelino G. Suarez (Cuba)
,,
Case Studies,Review Editor,John Hay (New Zealand)
Case Studies,Review Editor,Mai Trong Nhuan (Vietnam)
Case Studies,Review Editor,Jose Moreno (Spain)
,,
Case Studies,Contributing Author,Peter Berry (Canada)
Case Studies,Contributing Author,Harriet Caldin (UK)
Case Studies,Contributing Author,Diarmid Campbell-Lendrum (UK / WHO)
Case Studies,Contributing Author,Catriona Carmichael (UK)
Case Studies,Contributing Author,Anita Cooper (UK)
Case Studies,Contributing Author,Cherif Diop (Senegal)
Case Studies,Contributing Author,Justin Ginnetti (USA)
Case Studies,Contributing Author,Delphine Grynzspan (France)
Case Studies,Contributing Author,Clare Heaviside (UK)
Case Studies,Contributing Author,Jeremy Hess (USA)
Case Studies,Contributing Author,James Kossin (USA)
Case Studies,Contributing Author,Paul Kovacs (Canada)
Case Studies,Contributing Author,Sari Kovats (UK)
Case Studies,Contributing Author,Irene Kreis (Netherlands)
Case Studies,Contributing Author,Reza Lahidji (France)
Case Studies,Contributing Author,Joanne Linnerooth-Bayer (USA)
Case Studies,Contributing Author,Felipe Lucio (Mozambique)
Case Studies,Contributing Author,Simon Mason (USA)
Case Studies,Contributing Author,Sabrina McCormick (USA)
Case Studies,Contributing Author,Reinhard Mechler (Germany)
Case Studies,Contributing Author,Bettina Menne (Germany / WHO)
Case Studies,Contributing Author,Soojeong Myeong (Republic of Korea)
Case Studies,Contributing Author,Arona Ngari (Cook Islands)
Case Studies,Contributing Author,Neville Nicholls (Australia)
Case Studies,Contributing Author,Ursula Oswald Spring (Mexico)
Case Studies,Contributing Author,Pascal Peduzzi (Switzerland)
Case Studies,Contributing Author,Rosa Perez (Philippines)
Case Studies,Contributing Author,Caroline Rodgers (Canada)
Case Studies,Contributing Author,Hannah Rowlatt (UK)
Case Studies,Contributing Author,Sohel Saikat (UK)
Case Studies,Contributing Author,Sonia Seneviratne (Switzerland)
Case Studies,Contributing Author,Addis Taye (UK)
Case Studies,Contributing Author,Richard Thornton (Australia)
Case Studies,Contributing Author,Sotiris Vardoulakis (UK)
Case Studies,Contributing Author,Koko Warner (Germany)
Case Studies,Contributing Author,Irina Zodrow (Switzerland / UNISDR)
