Chapter,Role,Name,Country
,,,
Summary For Policy Makers,Lead Author,Matilde Rusticucci,Argentina
Summary For Policy Makers,Lead Author,Nathaniel L. Bindoff,Australia
Summary For Policy Makers,Lead Author,Penny Whetton,Australia
Summary For Policy Makers,Lead Author,Neville Nicholls,Australia
Summary For Policy Makers,Lead Author,Zhenlin Chen,China
Summary For Policy Makers,Lead Author,Dahe Qin,China
Summary For Policy Makers,Lead Author,Jiawen Ren,China
Summary For Policy Makers,Lead Author,Pierre Friedlingstein,France
Summary For Policy Makers,Lead Author,Jean Jouzel,France
Summary For Policy Makers,Lead Author,Martin Heimann,Germany
Summary For Policy Makers,Lead Author,Taroh Matsuno,Japan
Summary For Policy Makers,Lead Author,Graciela Raga,Mexico
Summary For Policy Makers,Lead Author,David Wratt,New Zealand
Summary For Policy Makers,Lead Author,Terje Berntsen,Norway
Summary For Policy Makers,Lead Author,Vladimir M. Kattsov,Russian Federation
Summary For Policy Makers,Lead Author,Bruce Charles Hewitson,South Africa
Summary For Policy Makers,Lead Author,Fortunat Joos,Switzerland
Summary For Policy Makers,Lead Author,Thomas F. Stocker,Switzerland
Summary For Policy Makers,Lead Author,Ulrike Lohmann,Switzerland
Summary For Policy Makers,Lead Author,Amnat Chidthaisong,Thailand
Summary For Policy Makers,Lead Author,Martin Manning,USA
Summary For Policy Makers,Lead Author,Venkatachalam Ramaswamy,USA
Summary For Policy Makers,Lead Author,Susan Solomon,USA
Summary For Policy Makers,Lead Author,Ronald J. Stouffer,USA
Summary For Policy Makers,Lead Author,Richard B. Alley,USA
Summary For Policy Makers,Lead Author,Mario Molina,USA
Summary For Policy Makers,Lead Author,Richard Somerville,USA
Summary For Policy Makers,Lead Author,Jonathan Overpeck,USA
Summary For Policy Makers,Lead Author,Gabriele C. Hegerl,USA
Summary For Policy Makers,Lead Author,Peter A. Stott,United Kingdom
Summary For Policy Makers,Lead Author,Richard A. Wood,United Kingdom
Summary For Policy Makers,Lead Author,Jonathan M. Gregory,United Kingdom
Summary For Policy Makers,Lead Author,Brian J. Hoskins,United Kingdom
,,,
Summary For Policy Makers,Contributing Author,Kenneth L. Denman,Canada
Summary For Policy Makers,Contributing Author,Francis W. Zwiers,Canada
Summary For Policy Makers,Contributing Author,Jens Hesselbjerg Krishna Christensen,Denmark
Summary For Policy Makers,Contributing Author,Hervé Le Treut,France
Summary For Policy Makers,Contributing Author,Peter Lemke,Germany
Summary For Policy Makers,Contributing Author,Jurgen Willebrand,Germany
Summary For Policy Makers,Contributing Author,Eystein Jansen,Norway
Summary For Policy Makers,Contributing Author,Philip Mote,USA
Summary For Policy Makers,Contributing Author,Julie Arblaster,USA
Summary For Policy Makers,Contributing Author,Guy Brasseur,USA
Summary For Policy Makers,Contributing Author,Gerald A. Meehl,USA
Summary For Policy Makers,Contributing Author,Kevin E. Trenberth,USA
Summary For Policy Makers,Contributing Author,David W. Fahey,USA
Summary For Policy Makers,Contributing Author,Reto Knutti,USA
Summary For Policy Makers,Contributing Author,David A. Randall,USA
Summary For Policy Makers,Contributing Author,Piers Forster,United Kingdom
Summary For Policy Makers,Contributing Author,Daithi A. Stone,United Kingdom
Summary For Policy Makers,Contributing Author,Philip D. Jones,United Kingdom
,,,
