Chapter,Role,Name,Country
,,,
Summary For Policy Makers,Lead Author,Terry Barker,United Kingdom
Summary For Policy Makers,Lead Author,Igor Alexeyevich Bashmakov,Russian Federation
Summary For Policy Makers,Lead Author,Lenny S. Bernstein,USA
Summary For Policy Makers,Lead Author,Jean E. Bogner,USA
Summary For Policy Makers,Lead Author,Peter Bosch,The Netherlands
Summary For Policy Makers,Lead Author,Zhou Dadi,China
Summary For Policy Makers,Lead Author,Rutu Dave,The Netherlands
Summary For Policy Makers,Lead Author,Ogunlade R. Davidson,Sierra Leone
Summary For Policy Makers,Lead Author,Brian S. Fisher,Australia
Summary For Policy Makers,Lead Author,Michael Grubb,United Kingdom
Summary For Policy Makers,Lead Author,Sujata Gupta,India
Summary For Policy Makers,Lead Author,Kirsten Halsnaes,Denmark
Summary For Policy Makers,Lead Author,BertJan Heij,The Netherlands
Summary For Policy Makers,Lead Author,Suzana Kahn Ribeiro,Brazil
Summary For Policy Makers,Lead Author,Shigeki Kobayashi,Japan
Summary For Policy Makers,Lead Author,Mark D. Levine,USA
Summary For Policy Makers,Lead Author,Daniel L. Martino,Uruguay
Summary For Policy Makers,Lead Author,Omar Masera,Mexico
Summary For Policy Makers,Lead Author,Bert Metz,The Netherlands
Summary For Policy Makers,Lead Author,Leo Meyer,The Netherlands
Summary For Policy Makers,Lead Author,Gert-Jan Nabuurs,The Netherlands
Summary For Policy Makers,Lead Author,Adil Najam,USA
Summary For Policy Makers,Lead Author,Nebojsa Nakicenovic,Austria
Summary For Policy Makers,Lead Author,Hans-Holger Rogner,Austria
Summary For Policy Makers,Lead Author,Joyashree Roy,India
Summary For Policy Makers,Lead Author,Jayant Sathaye,USA
Summary For Policy Makers,Lead Author,Robert Schock,USA
Summary For Policy Makers,Lead Author,Priyadarshi R. Shukla,India
Summary For Policy Makers,Lead Author,Ralph E. H. Sims,New Zealand
Summary For Policy Makers,Lead Author,Peter Smith,United Kingdom
Summary For Policy Makers,Lead Author,Rob J. Swart,The Netherlands
Summary For Policy Makers,Lead Author,Dennis A. Tirpak,USA
Summary For Policy Makers,Lead Author,Diana Ürge-Vorsatz,Hungary
,,,
,,,
