Chapter,Role,Name,Country
Human Health,Coordinating Lead Author,Ulisses Confalonieri,Brazil
Human Health,Coordinating Lead Author,Bettina Menne,Germany
,,,
Human Health,Contributing Author,Tarekegn Abeku,United Kingdom
Human Health,Lead Author,Rais Akhtar,India
Human Health,Contributing Author,Mozaharul Alam,Bangladesh
Human Health,Contributing Author,Paul Beggs,Australia
Human Health,Contributing Author,Bernard Clot,Switzerland
Human Health,Lead Author,Kristie L. Ebi,USA
Human Health,Contributing Author,Christopher Furgal,Canada
Human Health,Contributing Author,Simon Hales,New Zealand
Human Health,Lead Author,Maria Hauengue,Mozambique
Human Health,Contributing Author,Guy Hutton,Switzerland
Human Health,Contributing Author,Sirajul Islam,Bangladesh
Human Health,Contributing Author,Tord Kjellstrom,New Zealand
Human Health,Lead Author,Sari Kovats,United Kingdom
Human Health,Contributing Author,Nancy Lewis,USA
Human Health,Contributing Author,Anil Markandya,Italy
Human Health,Contributing Author,Glenn McGregor,United Kingdom
Human Health,Lead Author,Boris Revich,Russian Federation
Human Health,Contributing Author,Kirk Robert Smith,USA
Human Health,Contributing Author,Madeleine Thomson,USA
Human Health,Contributing Author,Christina Tirado,Spain
Human Health,Contributing Author,Tanja Wolf,Germany
Human Health,Lead Author,Alistair Woodward,New Zealand
,,,
,,,
Human Health,Review Editor,Susana I. Curto De Casas,Argentina
Human Health,Review Editor,Anthony J. McMichael,Australia
