Chapter,Role,Name (Country)
Insurance and Other Financial Services,Coordinating Lead Author,Pier Vellinga (The Netherlands)
Insurance and Other Financial Services,Coordinating Lead Author,Evan Mills (USA)
,,
Insurance and Other Financial Services,Lead Author,Gerhard Berz (Germany)
Insurance and Other Financial Services,Lead Author,Laurens Bouwer (The Netherlands)
Insurance and Other Financial Services,Lead Author,Saleemul Huq (Bangladesh)
Insurance and Other Financial Services,Lead Author,Lee Ann Kozak (USA)
Insurance and Other Financial Services,Lead Author,Jean P. Palutikof (United Kingdom)
Insurance and Other Financial Services,Lead Author,Bernd Schanzenbacher (Germany)
Insurance and Other Financial Services,Lead Author,Gabriel Soler (Argentina)
,,
Insurance and Other Financial Services,Contributing Author,Charlotte Benson (United Kingdom)
Insurance and Other Financial Services,Contributing Author,James P. Bruce (Canada)
Insurance and Other Financial Services,Contributing Author,G. Frerks (N/A)
Insurance and Other Financial Services,Contributing Author,P. Huyck (N/A)
Insurance and Other Financial Services,Contributing Author,Paul Kovacs (Canada)
Insurance and Other Financial Services,Contributing Author,A. Olsthoom (N/A)
Insurance and Other Financial Services,Contributing Author,Andrew Peara (USA)
Insurance and Other Financial Services,Contributing Author,S. Shida (N/A)
,,
Insurance and Other Financial Services,Review Editor,Andrew F. Dlugolecki (United Kingdom)
