Chapter,Role,Name (Country)
Managing the Risks: International Level and Integration across Scales,Coordinating Lead Author,Ian Burton (Canada)
Managing the Risks: International Level and Integration across Scales,Coordinating Lead Author,O. Pauline Dube (Botswana)
,,
Managing the Risks: International Level and Integration across Scales,Lead Author,Diarmid Campbell-Lendrum (Switzerland)
Managing the Risks: International Level and Integration across Scales,Lead Author,Ian Davis (UK)
Managing the Risks: International Level and Integration across Scales,Lead Author,Richard J.T. Klein (Sweden)
Managing the Risks: International Level and Integration across Scales,Lead Author,Joanne Linnerooth-Bayer (USA)
Managing the Risks: International Level and Integration across Scales,Lead Author,Apurva Sanghi (USA)
Managing the Risks: International Level and Integration across Scales,Lead Author,Ferenc Toth (Austria)
,,
Managing the Risks: International Level and Integration across Scales,Review Editor,Joy Jacqueline Pereira (Malaysia)
Managing the Risks: International Level and Integration across Scales,Review Editor,Linda Sygna (Norway)
,,
Managing the Risks: International Level and Integration across Scales,Contributing Author,Neil Adger (UK)
Managing the Risks: International Level and Integration across Scales,Contributing Author,Thea Dickinson (Canada)
Managing the Risks: International Level and Integration across Scales,Contributing Author,Kris Ebi (USA)
Managing the Risks: International Level and Integration across Scales,Contributing Author,Md. Tarik ul Islam (Canada / Bangladesh)
Managing the Risks: International Level and Integration across Scales,Contributing Author,Clarisse Kehler Siebert (Sweden)
