Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Chapter 15,National and Sub-national Policies and Institutions,Coordinating Lead Author,Eswaran Somanathan,"Indian Statistical Institute, Delhi",India,India
Chapter 15,National and Sub-national Policies and Institutions,Coordinating Lead Author,Thomas Sterner,"Uni of Gothenburg, Environmental Defense Fund in New York",Sweden,Sweden
Chapter 15,National and Sub-national Policies and Institutions,Coordinating Lead Author,Taishi Sugiyama,Central Research Institute of Electric Power Industry (CRIEPI),Japan,Japan
,,,,,,
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Donald Chimanikire,University of Zimbabwe ,Zimbabwe,Zimbabwe
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Navroz K. Dubash,Centre for Policy Research,India,India
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Joseph Kow Essandoh-Yeddu,Energy Commission,Ghana,Ghana
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Solomone Fifita,Secretariat of the Pacific Community,Tonga,Fiji
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Lawrence Goulder,"Stanford University
",United States,United States
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Adam Jaffe,Motu Economic and Public Policy Research,United States,New Zealand
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Xavier Labandeira,University of Vigo,Spain,Spain
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Shunsuke Managi,Tohoku University,Japan,Japan
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Catherine Mitchell,University of Exeter,United Kingdom,United Kingdom
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Juan Pablo Montero,Catholic University of Chile ,Chile,Chile
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Fei TENG,Tsinghua University,China,China
Chapter 15,National and Sub-national Policies and Institutions,Lead Author,Tomasz Zylicz,University of Warsaw,Poland,Poland
,,,,,,
Chapter 15,National and Sub-national Policies and Institutions,Review Editor,Martin Jänicke,Freie Universität Berlin,Germany,Germany
Chapter 15,National and Sub-national Policies and Institutions,Review Editor,Ronaldo Seroa da Motta,Environmental Economics at the State University of Rio de Janeiro (UERJ),Brazil,Brazil
Chapter 15,National and Sub-national Policies and Institutions,Review Editor,Nadir Mohamed Awad Suliman,Private Sector,Sudan,Sudan
,,,,,,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Arild Angelsen,,Norway,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Kazumasu Aoki,,Japan,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Kenji Asano,,Japan,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Michele Merrill Betsill,,United States,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Nils Axel Braathen,,Norway,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Harriet Bulkeley,,United Kingdom,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Dallas Burtraw,,United States,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Ann Carlson,,United States,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Luis Gómez-Echeverri,,Colombia,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Erik Haites,,Canada,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Frank Jotzo,,Australia,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Milind Kandlikar,,India,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Osamu Kimura,,Japan,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Gunnar Kohlin,,Sweden,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Hidenori Komatsu,,Japan,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Andrew Marquard,,South Africa,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Michael Mehling,,Germany,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Duane Marie Muller,,United States,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Luis Mundaca,,Chile,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Michael Pahle,,Germany,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Matthew Paterson,,Canada,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Rishikesh Ram Bhandary,,Nepal,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Charles Roger,,United Kingdom,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Kristin Seyboth,,United States,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Elisheba Spiller,,United States,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Paul Watkiss,,United Kingdom,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Harald Winkler,,South Africa,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Bridget Woodman,,United Kingdom,
Chapter 15,National and Sub-national Policies and Institutions,Contributing Author,Christoph von Stechow,,Germany,
