Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Coordinating Lead Author,Charles Kolstad,Stanford University,United States,United States
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Coordinating Lead Author,Kevin Urama,African Technology Policy Studies (ATPS) Network,Nigeria,Kenya
,,,,,,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,John Broome,University of Oxford,United Kingdom,United Kingdom
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Annegrete Bruvoll,Vista Analysis AS,Norway,Norway
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Martha Micheline Cariño Olvera,Universidad Autonoma de Baja California Sur,Mexico,Mexico
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Don Fullerton,University of Illinois,United States,United States
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Christian Gollier,University Toulouse I,France,France
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,William Michael Hanemann,"University of California, Berkeley",United States,United States
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Rashid Hassan,University of Pretoria,Sudan,South Africa
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Frank Jotzo,Australian National University,Australia,Germany
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Mizan R. Khan,North South University,Bangladesh,Bangladesh
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Lukas Meyer,University of Graz,Germany,Austria
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Lead Author,Luis Mundaca,Lund University,Chile,Sweden
,,,,,,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Review Editor,Marlene Attzs,University of The West Indies,Trinidad and Tobago,Trinidad and Tobago
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Review Editor,Daniel Bouille,Fundación Bariloche,Argentina,Argentina
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Review Editor,Snorre Kverndokk,Ragnar Frisch Centre for Economic Research,Norway,Norway
,,,,,,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Philippe Aghion,,United States,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Hunt Allcott,,United States,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Gregor Betz,,Germany,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Severin Borenstein,,United States,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Andrew Brennan,,Australia,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Simon Caney,,United Kingdom,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Dan Farber,,United States,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Adam Jaffe,,United States,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Gunnar Luderer,,Germany,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,Axel Ockenfels,,Germany,
Chapter 3,"Social, Economic and Ethical Concepts and Methods",Contributing Author,David Popp,,United States,
