Chapter,Title,Role,Name,Institution,Country
Chapter 13,Livelihoods and poverty,Coordinating Lead Author,Lennart Olsson,Lund University,Sweden
Chapter 13,Livelihoods and poverty,Coordinating Lead Author,Maggie Opondo,"University of Nairobi, Institute for Climate Change and Adaptation",Kenya
Chapter 13,Livelihoods and poverty,Coordinating Lead Author,Petra Tschakert,Pennsylvania State University,United States
,,,,,
Chapter 13,Livelihoods and poverty,Lead Author,Arun Agrawal,University of Michigan,United States
Chapter 13,Livelihoods and poverty,Lead Author,Siri Eriksen,Norwegian University of Life Sciences,Norway
Chapter 13,Livelihoods and poverty,Lead Author,Shiming Ma,Institute of Environment and Sustainable Development in Agriculture,China
Chapter 13,Livelihoods and poverty,Lead Author,Leisa Perch,United Nations Development Programme / World Centre for Sustainable Development (Centro Rio +),Barbados
Chapter 13,Livelihoods and poverty,Lead Author,Sumaya Zakieldeen,University of Khartoum,Sudan
,,,,,
Chapter 13,Livelihoods and poverty,Review Editor,Susan Cutter,University of South Carolina,United States
Chapter 13,Livelihoods and poverty,Review Editor,Etienne Piguet,University of Neuchatel,Switzerland
,,,,,
Chapter 13,Livelihoods and poverty,Volunteer Chapter Scientist,Anna Kaijser,Lund University Centre for Sustainability Studies,Sweden
,,,,,
Chapter 13,Livelihoods and poverty,Contributing Author,Catherine Jampel,,United States
Chapter 13,Livelihoods and poverty,Contributing Author,Eric Kissel,,United States
Chapter 13,Livelihoods and poverty,Contributing Author,Valentina Mara,,Romania
Chapter 13,Livelihoods and poverty,Contributing Author,Andrei Marin,,Norway
Chapter 13,Livelihoods and poverty,Contributing Author,David Satterthwaite,,United Kingdom
Chapter 13,Livelihoods and poverty,Contributing Author,Asuncion Lera St. Clair,,Norway
Chapter 13,Livelihoods and poverty,Contributing Author,Andy Sumner,,United Kingdom
