#,Chapter,Role,Name (Country)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Coordinating Lead Author,Matthew Collins (UK)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Coordinating Lead Author,Reto Knutti (Switzerland)
,,,
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Julie Arblaster (Australia)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Jean-Louis Dufresne (France)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Thierry Fichefet (Belgium)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Pierre Friedlingstein (UK)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Xuejie Gao (China)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,William J. Gutowski (USA)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Tim Johns (UK)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Gerhard Krinner (France)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Mxolisi Shongwe (South Africa)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Claudia Tebaldi (USA)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Andrew J. Weaver (Canada)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Michael Wehner (USA)
,,,
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Review Editor,Sylvie Joussaume (France)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Review Editor,Abdalah Mokssit (Morocco)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Review Editor,Karl Taylor (USA)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Review Editor,Simon Tett (UK)
,,,
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Myles R. Allen (UK)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Tim Andrews (UK)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Urs Beyerle (Switzerland)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Cecilia M. Bitz (USA)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Sandrine Bony (France)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Ben B.B. Booth (UK)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Harold E. Brooks (USA)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Victor Brovkin (Germany)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Oliver Browne (UK)
12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Claire Brutel-Vuilmet (France)
